log_id,worker_name,worker_phone,supervisor_id,work_date,hours,vendor_app,entered_at
L01843,Pooja D.,+91 9627028951,S102,2025-03-15,7.5,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L02346,Vinod Reddy,+91 9117758917,S103,2025-03-26,9.0,vendor_a_v2.3,2025-03-26T19:30:00+05:30
L00404,Kavita Naidu,+91 9299737631,S105,2025-02-12,8.5,vendor_a_v2.3,2025-02-12T19:30:00+05:30
L00954,SANJAY PATEL,+91 9348734714,S101,2025-03-15,5.0,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L01259,Vimala P.,91-9531473799,S103,2025-03-12,8.5,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L00553,R. Iyer,97882 08121,S103,2025-03-10,4.5,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L01942,G. Kumari,91-9240050455,S102,2025-03-26,5.5,vendor_a_v2.3,2025-03-26T19:30:00+05:30
L00588,Amit T.,0 9462475107,S102,2025-02-04,4.5,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L02003,GEETA KUMARI,+919407482175,S102,2025-03-20,6.5,vendor_a_v2.3,2025-03-20T19:30:00+05:30
L00235,Hitesh R.,+919710122691,S103,2025-03-15,7.5,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L02577,Ankit Bai,9752545991,S101,2025-01-09,7.5,vendor_a_v2.3,2025-01-09T19:30:00+05:30
L02228,Mohit  Mishra,97735 15850,S101,2025-02-26,6.0,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L02267,L. Mishra,99335 29042,S101,2025-02-22,5.5,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L00905,J. Kumar,91632 87083,S103,2025-01-15,5.0,vendor_a_v2.3,2025-01-15T19:30:00+05:30
L02202,HITESH DEVI,+91 9758692617,S105,2025-01-15,6.0,vendor_a_v2.3,2025-01-15T19:30:00+05:30
L01500,Mukesh Tiwari,0 9186999386,S102,2025-02-16,6.5,vendor_a_v2.3,2025-02-16T19:30:00+05:30
L00990,Sanjay Patel,+91 9348734714,S102,2025-03-20,7.0,vendor_a_v2.3,2025-03-20T19:30:00+05:30
L00075,Ramesh  Pandey,+919654235116,S105,2025-01-29,8.5,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L02610,Vijay  Pandey,0 9473178108,S101,2025-03-13,7.0,vendor_a_v2.3,2025-03-20T20:00:00+05:30
L02424,JIGNESH YADAV,+91 9249985698,S104,2025-03-15,5.5,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L02170,Mohit  Patel,+919965137098,S101,2025-02-26,7.0,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L00975,S. Patel,9348734714,S101,2025-02-18,7.5,vendor_a_v2.3,2025-02-18T19:30:00+05:30
L00059,Ramesh Kumar,9104332181,S103,2025-03-14,4.0,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01069,Vinod N.,+919893734670,S105,2025-01-29,7.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L01739,Vinod Rao,91-9737826398,S105,2025-01-17,6.5,vendor_a_v2.3,2025-01-17T19:30:00+05:30
L00736,Devi Ganesh,0 9073375433,S102,2025-02-24,8.0,vendor_a_v2.3,2025-02-24T19:30:00+05:30
L02014,G. Kumari,9407482175,S102,2025-02-12,7.5,vendor_a_v2.3,2025-02-12T19:30:00+05:30
L00288,Ajay R.,0 9480184514,S104,2025-02-04,5.5,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L02201,Hitesh Devi,9758692617,S103,2025-02-26,6.0,vendor_a_v2.3,2025-02-26T19:30:00+05:30
L01495,M. Tiwari,91-9186999386,S104,2025-03-08,8.5,vendor_a_v2.3,2025-03-08T19:30:00+05:30
L02565,R. Gupta,91-9502296120,S102,2025-02-16,6.5,vendor_a_v2.3,2025-02-16T19:30:00+05:30
L02517,Meena  Nair,0 9451983273,S101,2025-03-08,8.0,vendor_a_v2.3,2025-03-08T19:30:00+05:30
L00006,Kumar Ramesh,0 9901476797,S104,2025-03-22,6.0,vendor_a_v2.3,2025-03-22T19:30:00+05:30
L00132,Dinesh  Singh,0 9341316475,S103,2025-02-28,4.5,vendor_a_v2.3,2025-02-28T19:30:00+05:30
L00479,Sarita  Pandey,91-9677360260,S104,2025-01-21,8.0,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L01850,Pooja Devi,0 9627028951,S101,2025-03-06,8.0,vendor_a_v2.3,2025-03-06T19:30:00+05:30
L02477,M. Verma,91-9809885165,S102,2025-02-10,8.5,vendor_a_v2.3,2025-02-10T19:30:00+05:30
L00369,Shah Anita,+919657871331,S102,2025-01-09,6.0,vendor_a_v2.3,2025-01-09T19:30:00+05:30
L00787,MAHESH BAI,+91 9088356159,S103,2025-01-29,6.5,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L01432,Naidu Rakesh,9427109477,S104,2025-01-29,9.0,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L02107,Mishra Sunita,9285884247,S105,2025-01-13,5.5,vendor_a_v2.3,2025-01-13T19:30:00+05:30
L00847,R. Reddy,0 9465648236,S104,2025-03-10,7.0,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L01935,G. Kumari,9240050455,S101,2025-02-04,8.5,vendor_a_v2.3,2025-02-04T19:30:00+05:30
L02390,JIGNESH YADAV,9249985698,S103,2025-03-14,5.5,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L01452,RAKESH NAIDU,+91 9427109477,S105,2025-03-10,4.5,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L00200,AJAY VERMA,9423884969,S101,2025-01-17,7.5,vendor_a_v2.3,2025-01-17T19:30:00+05:30
L00902,Jignesh  Kumar,9163287083,S103,2025-03-14,8.5,vendor_a_v2.3,2025-03-14T19:30:00+05:30
L00410,Kavita  Naidu,91-9299737631,S101,2025-01-29,7.5,vendor_a_v2.3,2025-01-29T19:30:00+05:30
L01312,Mukesh  Tiwari,96783 77701,S103,2025-02-10,7.5,vendor_a_v2.3,2025-02-10T19:30:00+05:30
L01177,Iyer Ganesh,0 9049663193,S105,2025-01-25,4.5,vendor_a_v2.3,2025-01-25T19:30:00+05:30
L01057,Vinod  Naidu,9893734670,S105,2025-03-15,6.5,vendor_a_v2.3,2025-03-15T19:30:00+05:30
L00183,Rakesh T.,+91 9056413953,S101,2025-01-27,7.5,vendor_a_v2.3,2025-01-27T19:30:00+05:30
L01284,Vimala Patel,91-9531473799,S101,2025-03-04,7.5,vendor_a_v2.3,2025-03-04T19:30:00+05:30
L00083,Shanti  Patel,90781 61849,S104,2025-03-02,4.0,vendor_a_v2.3,2025-03-02T19:30:00+05:30
L02218,HITESH DEVI,0 9758692617,S102,2025-02-02,6.5,vendor_a_v2.3,2025-02-02T19:30:00+05:30
L00069,Ramesh P.,9654235116,S105,2025-02-06,7.5,vendor_a_v2.3,2025-02-06T19:30:00+05:30
L00051,RAMESH KUMAR,91-9104332181,S101,2025-02-18,8.5,vendor_a_v2.3,2025-02-18T19:30:00+05:30
L02031,G. Kumari,94367 13695,S102,2025-03-04,8.0,vendor_a_v2.3,2025-03-04T19:30:00+05:30
L00645,A. Kumar,0 9841241182,S101,2025-03-12,6.5,vendor_a_v2.3,2025-03-12T19:30:00+05:30
L01042,RAKESH MISHRA,0 9669096705,S103,2025-03-08,6.0,vendor_a_v2.3,2025-03-08T19:30:00+05:30
L01025,Usha  Yadav,91-9223623166,S102,2025-02-14,5.5,vendor_a_v2.3,2025-02-14T19:30:00+05:30
L02180,MOHIT PATEL,0 9965137098,S102,2025-02-22,7.5,vendor_a_v2.3,2025-02-22T19:30:00+05:30
L00145,S. Yadav,0 9928327648,S105,2025-03-24,6.5,vendor_a_v2.3,2025-03-24T19:30:00+05:30
L01571,Lakshmi  Yadav,+919206797403,S101,2025-03-08,5.0,vendor_a_v2.3,2025-03-08T19:30:00+05:30
L01933,Ganesh Kumari,0 9240050455,S101,2025-02-20,4.5,vendor_a_v2.3,2025-02-20T19:30:00+05:30
L01762,Rao Vinod,0 9737826398,S101,2025-03-08,6.0,vendor_a_v2.3,2025-03-08T19:30:00+05:30
L01776,Vinod  Gupta,9840449972,S105,2025-03-10,7.5,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L02015,Geeta  Kumari,91-9407482175,S102,2025-03-10,8.5,vendor_a_v2.3,2025-03-10T19:30:00+05:30
L02006,Kumari Geeta,+919407482175,S104,2025-02-24,5.5,vendor_a_v2.3,2025-02-24T19:30:00+05:30
L00455,Vijay  Pandey,+919473178108,S102,2025-01-23,4.5,vendor_a_v2.3,2025-01-23T19:30:00+05:30
L02109,Sunita Mishra,91-9285884247,S103,2025-01-25,4.5,vendor_a_v2.3,2025-01-25T19:30:00+05:30
L00395,Kavita Naidu,92997 37631,S103,2025-01-21,5.5,vendor_a_v2.3,2025-01-21T19:30:00+05:30
L01250,Ganesh Bai,+91 9572628498,S102,2025-03-16,4.0,vendor_a_v2.3,2025-03-16T19:30:00+05:30
L01690,Rakesh M.,+919482477109,S105,2025-03-26,5.0,vendor_a_v2.3,2025-03-26T19:30:00+05:30
