worker_id,name,phone,state,role,seniority,registered_on
W0001,Ramesh Kumar,9901476797,MH,Data Entry,junior,2025-01-05
W0002,Ramesh Kumar,9104332181,MH,Data Entry,junior,2025-01-05
W0003,Ramesh Pandey,9654235116,MH,Crop Inspector,senior,2025-01-05
W0004,Shanti Patel,9078161849,UP,Data Entry,junior,2025-01-05
W0005,Dinesh Singh,9341316475,MH,Crop Inspector,junior,2025-01-05
W0006,Sita Yadav,9928327648,MH,Data Entry,junior,2025-01-05
W0007,Rakesh Tiwari,9056413953,UP,Crop Inspector,senior,2025-01-05
W0008,Ajay Verma,9423884969,UP,Crop Inspector,junior,2025-01-05
W0009,Hitesh Reddy,9710122691,UP,Crop Inspector,junior,2025-01-05
W0010,Ajay Reddy,9480184514,UP,Field Surveyor,junior,2025-01-05
W0011,Geeta Reddy,9281489325,MH,Data Entry,senior,2025-01-05
W0012,Asha Kumar,9957015430,MH,Data Entry,senior,2025-01-05
W0013,Mukesh Rao,9182278248,UP,Field Surveyor,senior,2025-01-05
W0014,Anita Shah,9657871331,UP,Field Surveyor,junior,2025-01-05
W0015,Lalita Iyer,9301031051,MH,Crop Inspector,junior,2025-01-05
W0016,Kavita Naidu,9299737631,MH,Data Entry,junior,2025-01-05
W0017,Vijay Bai,9701065133,MH,Data Entry,junior,2025-01-05
W0018,Vijay Pandey,9473178108,MH,Field Surveyor,senior,2025-01-05
W0019,Sarita Pandey,9677360260,UP,Crop Inspector,senior,2025-01-05
W0020,Ajay Shah,9687234309,MH,Data Entry,junior,2025-01-05
W0021,Rakesh Iyer,9788208121,MH,Data Entry,senior,2025-01-05
W0022,Vikas Sharma,9939909169,UP,Crop Inspector,junior,2025-01-05
W0023,Amit Tiwari,9462475107,MH,Field Surveyor,junior,2025-01-05
W0024,Renu Patel,9251354278,UP,Data Entry,senior,2025-01-05
W0025,Asha Kumar,9841241182,UP,Crop Inspector,junior,2025-01-05
W0026,Sumit Mishra,9487401640,MH,Crop Inspector,junior,2025-01-05
W0027,Geeta Pandey,9786801128,MH,Crop Inspector,junior,2025-01-05
W0028,Jignesh Bai,9204505331,UP,Data Entry,senior,2025-01-05
W0029,Vinod Nair,9232260256,MH,Crop Inspector,junior,2025-01-05
W0030,Ganesh Devi,9073375433,MH,Data Entry,junior,2025-01-05
W0031,Sumit Patel,9145868501,UP,Field Surveyor,junior,2025-01-05
W0032,Geeta Singh,9196556981,UP,Data Entry,junior,2025-01-05
W0033,Mahesh Bai,9088356159,UP,Data Entry,senior,2025-01-05
W0034,Reena Reddy,9465648236,UP,Data Entry,junior,2025-01-05
W0035,Sunita Nair,9946804436,UP,Crop Inspector,junior,2025-01-05
W0036,Kavita Reddy,9721489513,UP,Field Surveyor,senior,2025-01-05
W0037,Jignesh Kumar,9037917693,UP,Crop Inspector,junior,2025-01-05
W0038,Jignesh Kumar,9163287083,MH,Crop Inspector,junior,2025-01-05
W0039,Ajay Reddy,9895798687,MH,Data Entry,senior,2025-01-05
W0040,Sanjay Patel,9348734714,MH,Crop Inspector,junior,2025-01-05
W0041,Usha Yadav,9223623166,UP,Data Entry,junior,2025-01-05
W0042,Rakesh Mishra,9669096705,UP,Crop Inspector,senior,2025-01-05
W0043,Vinod Naidu,9893734670,UP,Crop Inspector,junior,2025-01-05
W0044,Vikas Pandey,9729806990,MH,Data Entry,junior,2025-01-05
W0045,Ajay Pandey,9046537556,UP,Crop Inspector,junior,2025-01-05
W0046,Mukesh Rao,9080531003,MH,Field Surveyor,junior,2025-01-05
W0047,Sarita Verma,9719374529,MH,Field Surveyor,junior,2025-01-05
W0048,Ganesh Iyer,9049663193,MH,Data Entry,junior,2025-01-05
W0049,Shanti Sharma,9905865185,MH,Crop Inspector,senior,2025-01-05
W0050,Ganesh Bai,9572628498,UP,Crop Inspector,junior,2025-01-05
W0051,Vimala Patel,9531473799,UP,Crop Inspector,junior,2025-01-05
W0052,Amit Pandey,9735454948,MH,Data Entry,senior,2025-01-05
W0053,Mukesh Tiwari,9678377701,UP,Field Surveyor,junior,2025-01-05
W0054,Sarita Shah,9957885685,UP,Data Entry,junior,2025-01-05
W0055,Reena Patel,9313518233,UP,Crop Inspector,junior,2025-01-05
W0056,Asha Nair,9413435240,MH,Crop Inspector,junior,2025-01-05
W0057,Rakesh Naidu,9427109477,UP,Crop Inspector,junior,2025-01-05
W0058,Rakesh Patel,9711671902,MH,Data Entry,senior,2025-01-05
W0059,Mukesh Tiwari,9186999386,UP,Crop Inspector,junior,2025-01-05
W0060,Vimala Bai,9499091334,MH,Field Surveyor,junior,2025-01-05
W0061,Lakshmi Yadav,9206797403,UP,Data Entry,junior,2025-01-05
W0062,Ajay Yadav,9349361832,UP,Field Surveyor,junior,2025-01-05
W0063,Priya Shah,9994717464,UP,Crop Inspector,junior,2025-01-05
W0064,Mahesh Bai,9594013990,UP,Data Entry,junior,2025-01-05
W0065,Sunita Rao,9874296717,UP,Crop Inspector,junior,2025-01-05
W0066,Ganesh Pandey,9567468071,UP,Crop Inspector,junior,2025-01-05
W0067,Vikas Reddy,9087603859,UP,Data Entry,junior,2025-01-05
W0068,Rakesh Mishra,9482477109,MH,Data Entry,junior,2025-01-05
W0069,Lakshmi Kumar,9861317127,UP,Data Entry,junior,2025-01-05
W0070,Vinod Rao,9737826398,MH,Field Surveyor,junior,2025-01-05
W0071,Vinod Gupta,9840449972,UP,Data Entry,junior,2025-01-05
W0072,Sumit Naidu,9867533963,UP,Field Surveyor,junior,2025-01-05
W0073,Pooja Devi,9627028951,UP,Field Surveyor,junior,2025-01-05
W0074,Ajay Kumar,9262174596,MH,Crop Inspector,senior,2025-01-05
W0075,Usha Devi,9578091343,MH,Crop Inspector,senior,2025-01-05
W0076,Ganesh Kumari,9240050455,UP,Field Surveyor,junior,2025-01-05
W0077,Vinod Iyer,9222196937,MH,Field Surveyor,junior,2025-01-05
W0078,Geeta Kumari,9407482175,UP,Data Entry,senior,2025-01-05
W0079,Geeta Kumari,9436713695,UP,Data Entry,junior,2025-01-05
W0080,Vikas Patel,9090974395,MH,Data Entry,junior,2025-01-05
W0081,Geeta Verma,9104709521,UP,Crop Inspector,junior,2025-01-05
W0082,Sunita Mishra,9285884247,UP,Data Entry,senior,2025-01-05
W0083,Naresh Kumari,9123685160,UP,Data Entry,junior,2025-01-05
W0084,Mohit Patel,9965137098,UP,Data Entry,junior,2025-01-05
W0085,Dinesh Kumari,9461200471,MH,Field Surveyor,senior,2025-01-05
W0086,Hitesh Devi,9758692617,UP,Crop Inspector,junior,2025-01-05
W0087,Mohit Mishra,9773515850,UP,Crop Inspector,junior,2025-01-05
W0088,Naresh Kumari,9139005329,MH,Field Surveyor,senior,2025-01-05
W0089,Lakshmi Mishra,9933529042,MH,Data Entry,junior,2025-01-05
W0090,Sunita Sharma,9020539502,UP,Field Surveyor,junior,2025-01-05
W0091,Vinod Reddy,9117758917,MH,Data Entry,junior,2025-01-05
W0092,Asha Shah,9700766177,MH,Field Surveyor,junior,2025-01-05
W0093,Jignesh Yadav,9249985698,UP,Crop Inspector,junior,2025-01-05
W0094,Vijay Sharma,9183673657,UP,Crop Inspector,junior,2025-01-05
W0095,Amit Bai,9545271111,UP,Field Surveyor,junior,2025-01-05
W0096,Mohit Verma,9809885165,UP,Data Entry,junior,2025-01-05
W0097,Meena Nair,9451983273,MH,Crop Inspector,senior,2025-01-05
W0098,Mohit Sharma,9493689980,UP,Field Surveyor,junior,2025-01-05
W0099,Reena Gupta,9502296120,MH,Data Entry,junior,2025-01-05
W0100,Ankit Bai,9752545991,MH,Field Surveyor,junior,2025-01-05
